n_layers,n_components,comp_size,total_size,time_ms
2,1,10,20,0.0021132222222222225
2,1,100,200,0.002159111111111111
2,1,500,1000,0.0025926666666666663
2,5,10,100,0.003328375
2,5,100,1000,0.0036955
2,5,500,5000,0.0053461666666666675
2,10,10,200,0.004826428571428571
2,10,100,2000,0.0058986
2,10,500,10000,0.008821
3,1,10,30,0.00336525
3,1,100,300,0.0034741249999999998
3,1,500,1500,0.004359
3,5,10,150,0.0058724
3,5,100,1500,0.006507
3,5,500,7500,0.009778
3,10,10,300,0.009004999999999999
3,10,100,3000,0.010806
3,10,500,15000,0.016735
5,1,10,50,0.005771833333333333
5,1,100,500,0.0060112
5,1,500,2500,0.007668499999999999
5,5,10,250,0.010735
5,5,100,2500,0.012037
5,5,500,12500,0.018779
5,10,10,500,0.017077
5,10,100,5000,0.020080999999999998
5,10,500,25000,0.032008999999999996
